Site,variable,raw_mean_high_megafauna,error_high_megafauna,n_high_megafauna,raw_mean_low_megafauna,error_low_megafauna,n_low_megafauna
MBV,"Dissolved N (DN, mg/g)",19.3,4.1,4,14.6,0.3,4
MTR,"Dissolved N (DN, mg/g)",12.2,1.2,4,14.3,1,4
DOB,"Dissolved N (DN, mg/g)",12,3,4,13.6,4.1,4
HAV,"Dissolved N (DN, mg/g)",29.2,5.2,4,18.1,3.4,4
MAS,"Dissolved N (DN, mg/g)",16.4,1.1,4,17.9,2.7,4
HRK,"Dissolved N (DN, mg/g)",11.2,1.2,4,10.5,2.6,4
MBV,Dissolved NH4-N (ng/g),633,51,4,633,43,4
MTR,Dissolved NH4-N (ng/g),649,148,4,598,55,4
DOB,Dissolved NH4-N (ng/g),1205,75,4,951,248,4
HAV,Dissolved NH4-N (ng/g),878,57,4,1050,286,4
MAS,Dissolved NH4-N (ng/g),828,74,4,749,22,4
HRK,Dissolved NH4-N (ng/g),842,304,4,779,122,4
MBV,Dissolved NO3-N (ng/g),1557,618,4,1790,644,4
MTR,Dissolved NO3-N (ng/g),968,197,4,1900,524,4
DOB,Dissolved NO3-N (ng/g),1761,872,4,1934,808,4
HAV,Dissolved NO3-N (ng/g),1233,585,4,1075,379,4
MAS,Dissolved NO3-N (ng/g),983,429,4,676,176,4
HRK,Dissolved NO3-N (ng/g),983,549,4,1722,677,4
MBV,"Dissolved org. C (DOC, mg/g)",134,45,4,92,9,4
MTR,"Dissolved org. C (DOC, mg/g)",101,9,4,91,8,4
DOB,"Dissolved org. C (DOC, mg/g)",79,19,4,107,38,4
HAV,"Dissolved org. C (DOC, mg/g)",199,38,4,102,18,4
MAS,"Dissolved org. C (DOC, mg/g)",93,9,4,101,13,4
HRK,"Dissolved org. C (DOC, mg/g)",84,5,4,82,11,4
MBV,Microbial C (mg/g),566,177,4,609,60,4
MTR,Microbial C (mg/g),346,44,4,242,67,4
DOB,Microbial C (mg/g),542,159,4,426,209,4
HAV,Microbial C (mg/g),458,84,4,357,23,4
MAS,Microbial C (mg/g),497,115,4,374,21,4
HRK,Microbial C (mg/g),174,106,4,312,108,4
MBV,Microbial C/N ratio,6.5,0.29,4,6.58,0.46,4
MTR,Microbial C/N ratio,4.34,0.39,4,4.46,0.29,4
DOB,Microbial C/N ratio,7.31,0.48,4,8.06,0.75,4
HAV,Microbial C/N ratio,8.79,0.41,4,7.36,0.34,4
MAS,Microbial C/N ratio,6.74,0.98,4,7.4,0.05,4
HRK,Microbial C/N ratio,4.98,1.01,4,5.68,0.92,4
MBV,Microbial N (mg/g),101,29,4,108,10,4
MTR,Microbial N (mg/g),93,9,4,64,20,4
DOB,Microbial N (mg/g),86,21,4,61,28,4
HAV,Microbial N (mg/g),61,10,4,57,3,4
MAS,Microbial N (mg/g),88,24,4,59,4,4
HRK,Microbial N (mg/g),38,15,4,65,22,4
MBV,Net nitrification (ng NO3-N/g/day),490,109,4,452,293,4
MTR,Net nitrification (ng NO3-N/g/day),135,92,4,62,25,4
DOB,Net nitrification (ng NO3-N/g/day),1227,356,4,1369,832,4
HAV,Net nitrification (ng NO3-N/g/day),661,212,4,293,319,4
MAS,Net nitrification (ng NO3-N/g/day),643,445,4,73,55,4
HRK,Net nitrification (ng NO3-N/g/day),182,114,4,308,162,4
MBV,Respiration rate (µmol C/ g/d),3.1,0.68,4,3.86,2.18,4
MTR,Respiration rate (µmol C/ g/d),4.62,0.99,4,3.32,0.9,4
DOB,Respiration rate (µmol C/ g/d),1.78,0.49,4,1.76,0.5,4
HAV,Respiration rate (µmol C/ g/d),1.73,0.21,4,1.85,0.24,4
MAS,Respiration rate (µmol C/ g/d),2.61,0.26,4,2.3,0.08,4
HRK,Respiration rate (µmol C/ g/d),1.25,0.15,4,2.89,1.59,4
MBV,Soil C/N ratio,14,1.4,4,13.7,0.6,4
MTR,Soil C/N ratio,13.8,0.2,4,13.8,0.5,4
DOB,Soil C/N ratio,15.2,1.1,4,14.8,1.4,4
HAV,Soil C/N ratio,15.6,0.6,4,13,0.4,4
MAS,Soil C/N ratio,12.8,0.5,4,14.1,0.5,4
HRK,Soil C/N ratio,17.9,3.5,4,16.8,2.3,4
MBV,Soil C/P ratio,108,38,4,109,44,4
MTR,Soil C/P ratio,306,91,4,106,49,4
DOB,Soil C/P ratio,82,56,4,79,36,4
HAV,Soil C/P ratio,255,75,4,155,33,4
MAS,Soil C/P ratio,123,37,4,163,5,4
HRK,Soil C/P ratio,393,154,4,209,51,4
MBV,Soil N/P ratio,7.7,2.7,4,7.9,3,4
MTR,Soil N/P ratio,22.1,6.4,4,7.7,3.7,4
DOB,Soil N/P ratio,5.3,3.2,4,5.1,1.8,4
HAV,Soil N/P ratio,16.2,4.2,4,11.9,2.4,4
MAS,Soil N/P ratio,9.7,3,4,11.6,0.1,4
HRK,Soil N/P ratio,23.5,10.3,4,12.9,4.2,4
MBV,Soil dry weight,0.897,0.011,4,0.882,0.017,4
MTR,Soil dry weight,0.877,0.026,4,0.887,0.023,4
DOB,Soil dry weight,0.799,0.029,4,0.812,0.021,4
HAV,Soil dry weight,0.847,0.013,4,0.85,0.015,4
MAS,Soil dry weight,0.795,0.01,4,0.839,0.004,4
HRK,Soil dry weight,0.86,0.056,4,0.825,0.032,4
MBV,Soluble reactive P (ng/g),979,428,4,499,116,4
MTR,Soluble reactive P (ng/g),333,217,4,340,128,4
DOB,Soluble reactive P (ng/g),768,301,4,1110,744,4
HAV,Soluble reactive P (ng/g),643,298,4,1488,733,4
MAS,Soluble reactive P (ng/g),497,120,4,1085,100,4
HRK,Soluble reactive P (ng/g),561,331,4,949,590,4
MBV,Water retention capacity  (% vol),40.1,1.7,4,39.8,1.6,4
MTR,Water retention capacity  (% vol),36.8,2.9,4,34.9,3.8,4
DOB,Water retention capacity  (% vol),39.1,3.5,4,38.8,4.4,4
HAV,Water retention capacity  (% vol),35.4,3.8,4,37.9,5.9,4
MAS,Water retention capacity  (% vol),42.2,2,4,31.4,3.3,4
HRK,Water retention capacity  (% vol),34.6,6.9,4,33.4,6.3,4
MBV,fine particles (%),42.8,5.1,4,52.3,7.3,4
MTR,fine particles (%),42.5,7,4,47.7,1.5,4
DOB,fine particles (%),77.2,13.1,4,69.7,9.2,4
HAV,fine particles (%),37.4,10.9,4,45.9,2,4
MAS,fine particles (%),88.6,2,4,44.9,6.4,4
HRK,fine particles (%),19.1,21.1,4,27.5,20.1,4
MBV,pH,7.29,0.34,4,7.84,0.33,4
MTR,pH,8.06,0.09,4,7.86,0.3,4
DOB,pH,6.53,0.19,4,6.56,0.27,4
HAV,pH,5.26,0.08,4,5.94,0.14,4
MAS,pH,6.71,0.49,4,5.58,0.04,4
HRK,pH,6.63,0.3,4,7.28,0.55,4
MBV,soil C content (mg/g),24.4,4.7,4,24.1,1.7,4
MTR,soil C content (mg/g),25.3,5.9,4,19.4,4,4
DOB,soil C content (mg/g),24.6,8.8,4,23,9.8,4
HAV,soil C content (mg/g),27.8,10.4,4,21.6,3.6,4
MAS,soil C content (mg/g),23.2,3.2,4,18.4,0.9,4
HRK,soil C content (mg/g),21,5.6,4,21.3,5.6,4
MBV,soil N content (mg/g),2.03,0.31,4,2.05,0.08,4
MTR,soil N content (mg/g),2.13,0.49,4,1.63,0.3,4
DOB,soil N content (mg/g),1.87,0.56,4,1.84,0.8,4
HAV,soil N content (mg/g),2.06,0.73,4,1.93,0.3,4
MAS,soil N content (mg/g),2.12,0.32,4,1.53,0.02,4
HRK,soil N content (mg/g),1.38,0.35,4,1.54,0.48,4
MBV,soil P content (mg/g),0.64,0.17,4,0.67,0.24,4
MTR,soil P content (mg/g),0.22,0.02,4,0.7,0.51,4
DOB,soil P content (mg/g),0.98,0.49,4,0.9,0.41,4
HAV,soil P content (mg/g),0.28,0.04,4,0.37,0.04,4
MAS,soil P content (mg/g),0.6,0.38,4,0.29,0.01,4
HRK,soil P content (mg/g),0.16,0.07,4,0.27,0.08,4
