data_point_id,citation,title,doi,herbivore_type,study_notes,data_notes,design_notes,land_use_history_notes,management_notes,experimental_mechanism,experiment_timing,site_size_ha,site_number,treatment_size_m2,treatment_number,plot_size_m2,plot_number,subplot_size_m2,subplot_number,final_measure_scale,continent,latitude,longitude,coord_quality,site_name,introduced_herbivores,herbivore_manipulation_notes,density_notes,density_high_megafauna,density_low_megafauna,animal_density_units,areal_density_units,years_since_introduction,years_since_treatment,treatment_duration_days,time_series_clean,data_year,impact_mechanism,response_highest_level,response_sphere,species_class,species_level,species_or_group,response,unit,mean_type,error_type,fig_num,fig_notes,raw_mean_high_megafauna,error_high_megafauna,n_high_megafauna,raw_mean_low_megafauna,error_low_megafauna,n_low_megafauna,plot_covariate,digitization_notes,initially_entered_by,eco_response,total_biomass_kg_ha,cwm_mass_kg,max_species_mass_kg,metabolic_biomass_ha,vi_rom,yi_rom,vi_smd,yi_smd,vi_smdh,yi_smdh,n_citations
dp_11,Noble et al 2025 Ecological Applications,Native megafauna (Bison bison) act as a surprising inhibitor of cedar tree expansion in a Great Plains grassland,https://doi.org/10.1002/eap.70108,Semi-Domestic,"Bison introduced 1920 to current range, herd size of 270 adults with goal of grating ~25 % aboveground production each year","most data not usable, some sspeces richness and soil metrics n supplement","Paired with burning, but both control and treatment standardized","This study took place at Konza Prairie Biological Station (KPBS), a 3487-ha native tallgrass prairie located in northeastern Kansas, USA (39°05′ N, 96°35′ W). KPBS is a National Science Foundation long-term ecological research (LTER) in the Flint Hills ecoregion of the Central Great Plains, the largest expanse of unplowed tallgrass prairie in North America",Population size likely artifically managed,distal comparison with and without,with_introduction,1012,1,10120000,1,10,40 per treatment and catchment type,,"",plot,North America,39.08339354,-96.5832714,reasonable,Konza Prairie Biological Station,Bison bison,"In 1987, 30 bison were introduced and restricted to under half of their current spatial extent, including catchment N20A. In 1992, the bison herd was given access to its current 1012 ha area, including catchment N20B. The herd increased to an average of 270 adults with the goal of a grazing rate of ~25% removal of aboveground production each year",likely kept artifically constant,0.26 Bison bison,0,individuals,hectare,28,,10220,2,2020,cumulative,diversity,vegetation,plants,higher_level,all plants,exponential shannon index,"",mean,SD,Fig_S2,Fig S2C,11.0069444,4.17498464,40,7.7951389,2.43499322,40,lowland,"",JT,plant_diversity,150.606378,579.2553,579.2553,30.6991153067535,0.00603622636395986,0.345026061231727,0.0554139911842358,0.930719393521871,0.05818094950181,0.930719393521871,8
dp_12,Noble et al 2025 Ecological Applications,Native megafauna (Bison bison) act as a surprising inhibitor of cedar tree expansion in a Great Plains grassland,https://doi.org/10.1002/eap.70108,Semi-Domestic,"Bison introduced 1920 to current range, herd size of 270 adults with goal of grating ~25 % aboveground production each year","most data not usable, some sspeces richness and soil metrics n supplement","Paired with burning, but both control and treatment standardized","This study took place at Konza Prairie Biological Station (KPBS), a 3487-ha native tallgrass prairie located in northeastern Kansas, USA (39°05′ N, 96°35′ W). KPBS is a National Science Foundation long-term ecological research (LTER) in the Flint Hills ecoregion of the Central Great Plains, the largest expanse of unplowed tallgrass prairie in North America",Population size likely artifically managed,distal comparison with and without,with_introduction,1012,1,10120000,1,10,40 per treatment and catchment type,,"",plot,North America,39.08339354,-96.5832714,reasonable,Konza Prairie Biological Station,Bison bison,"In 1987, 30 bison were introduced and restricted to under half of their current spatial extent, including catchment N20A. In 1992, the bison herd was given access to its current 1012 ha area, including catchment N20B. The herd increased to an average of 270 adults with the goal of a grazing rate of ~25% removal of aboveground production each year",likely kept artifically constant,0.26 Bison bison,0,individuals,hectare,28,,10220,2,2020,cumulative,diversity,vegetation,plants,higher_level,all plants,exponential shannon index,"",mean,SD,Fig_S2,Fig S2C,16.8576389,4.76828172,40,7.9513889,3.27491545,40,upland,"",JT,plant_diversity,150.606378,579.2553,579.2553,30.6991153067535,0.00624104835177557,0.751457283438874,0.0790622622489915,2.15637704491553,0.0849303022301388,2.15637704491553,8
dp_13,Kaštovská et al 2025 Science of The Total Environment,Trophic rewilding by large herbivores reduces plant nitrogen and water limitation across seven sites irrespective of their edaphic conditions,https://doi.org/10.1016/j.scitotenv.2025.179141,Mix,Rewilding in six areas for a couple of years,"",each area compared with one nearby control,Unkown,"no feeding or drugs, but likely population control somehow",distal comparison with and without,with_introduction,100,1,1000000,1,10000,4 per treatment,,"",plot,Europe,50.237,14.889,"",MBV,Equus caballus; Bos taurus,"Introduced 3/2015, smaller herbivores such as roe deer have free access to control and treatment",likely kept artifically constant,0.25 Equus caballus; 0.09 Bos taurus,0,individuals,hectare,7,,2555,1,2022,cumulative,soil_nutrients,soil,soil,higher_level,soil,Dissolved N,mg/g,mean,SD,"","",19.3,4.1,4,14.6,0.3,4,"","",JT,soil_n,142.5,419.117647058824,750,30.9195633007696,0.0113877365850438,0.279083567196549,0.623277937949594,1.40443832445341,0.991925095742544,1.40443832445341,1
dp_14,Kaštovská et al 2025 Science of The Total Environment,Trophic rewilding by large herbivores reduces plant nitrogen and water limitation across seven sites irrespective of their edaphic conditions,https://doi.org/10.1016/j.scitotenv.2025.179141,Mix,Rewilding in six areas for a couple of years,"",each area compared with one nearby control,Unkown,"no feeding or drugs, but likely population control somehow",distal comparison with and without,with_introduction,250,1,2500000,1,10000,4 per treatment,,"",plot,Europe,50.279,14.882,"",MTR,Equus caballus; Bison bonasus; Bos taurus,"Introduced 12/2015, smaller herbivores such as roe deer have free access to control and treatment",likely kept artifically constant,0.16 Equus caballus; 0.12 Bison bonasus; 0.02 Bos taurus,0,individuals,hectare,7,,2555,1,2022,cumulative,soil_nutrients,soil,soil,higher_level,soil,Dissolved N,mg/g,mean,SD,"","",12.2,1.2,4,14.3,1,4,"","",JT,soil_n,123,410,750,27.0882783257467,0.00364125831939394,-0.158823585526651,0.670461031945418,-1.65147706951283,0.90133881026043,-1.65147706951283,1
dp_15,Kaštovská et al 2025 Science of The Total Environment,Trophic rewilding by large herbivores reduces plant nitrogen and water limitation across seven sites irrespective of their edaphic conditions,https://doi.org/10.1016/j.scitotenv.2025.179141,Mix,Rewilding in six areas for a couple of years,"",each area compared with one nearby control,Unkown,"no feeding or drugs, but likely population control somehow",distal comparison with and without,with_introduction,30,1,300000,1,10000,4 per treatment,,"",plot,Europe,49.664,13.317,"",DOB,Equus caballus,"Introduced 1/2018, smaller herbivores such as roe deer have free access to control and treatment",likely kept artifically constant,0.2 Equus caballus,0,individuals,hectare,4,,1460,1,2022,cumulative,soil_nutrients,soil,soil,higher_level,soil,Dissolved N,mg/g,mean,SD,"","",12,3,4,13.6,4.1,4,"","",JT,soil_n,60,300,300,14.4168684848085,0.0383461288927336,-0.125163142954006,0.509354666536146,-0.38687810041192,0.680281626387619,-0.38687810041192,1
dp_16,Kaštovská et al 2025 Science of The Total Environment,Trophic rewilding by large herbivores reduces plant nitrogen and water limitation across seven sites irrespective of their edaphic conditions,https://doi.org/10.1016/j.scitotenv.2025.179141,Mix,Rewilding in six areas for a couple of years,"",each area compared with one nearby control,Unkown,"no feeding or drugs, but likely population control somehow",distal comparison with and without,with_introduction,35,1,350000,1,10000,4 per treatment,,"",plot,Europe,48.81,15.992,"",HAV,Equus caballus,"Introduced 5/2018, smaller herbivores such as roe deer have free access to control and treatment",likely kept artifically constant,0.23 Equus caballus,0,individuals,hectare,4,,1460,1,2022,cumulative,soil_nutrients,soil,soil,higher_level,soil,Dissolved N,mg/g,mean,SD,"","",29.2,5.2,4,18.1,3.4,4,"","",JT,soil_n,69,300,300,16.5793987575298,0.0167497813036246,0.478256771002456,0.801047484756898,2.19471177062282,1.13261997152467,2.19471177062282,1
dp_17,Kaštovská et al 2025 Science of The Total Environment,Trophic rewilding by large herbivores reduces plant nitrogen and water limitation across seven sites irrespective of their edaphic conditions,https://doi.org/10.1016/j.scitotenv.2025.179141,Mix,Rewilding in six areas for a couple of years,"",each area compared with one nearby control,Unkown,"no feeding or drugs, but likely population control somehow",distal comparison with and without,with_introduction,29,1,290000,1,10000,4 per treatment,,"",plot,Europe,48.845,15.971,"",MAS,Equus caballus,"Introduced 5/2018, smaller herbivores such as roe deer have free access to control and treatment",likely kept artifically constant,0.31 Equus caballus,0,individuals,hectare,4,,1460,1,2022,cumulative,soil_nutrients,soil,soil,higher_level,soil,Dissolved N,mg/g,mean,SD,"","",16.4,1.1,4,17.9,2.7,4,"","",JT,soil_n,93,300,300,22.3461461514532,0.00681272727633083,-0.0875193780165565,0.524965481269317,-0.632018749966384,0.716985282371437,-0.632018749966384,1
dp_18,Kaštovská et al 2025 Science of The Total Environment,Trophic rewilding by large herbivores reduces plant nitrogen and water limitation across seven sites irrespective of their edaphic conditions,https://doi.org/10.1016/j.scitotenv.2025.179141,Mix,Rewilding in six areas for a couple of years,"",each area compared with one nearby control,Unkown,"no feeding or drugs, but likely population control somehow",distal comparison with and without,with_introduction,18,1,180000,1,10000,4 per treatment,,"",plot,Europe,50.1878,15.861,"",HRK,Equus caballus,"Introduced 1/2018, smaller herbivores such as roe deer have free access to control and treatment",likely kept artifically constant,0.17 Equus caballus,0,individuals,hectare,4,,1460,1,2022,cumulative,soil_nutrients,soil,soil,higher_level,soil,Dissolved N,mg/g,mean,SD,"","",11.2,1.2,4,10.5,2.6,4,"","",JT,soil_n,51,300,300,12.2543382120872,0.0181986961451247,0.0645385211375712,0.505635838996569,0.300288900802394,0.677344072650126,0.300288900802394,1
dp_19,Kaštovská et al 2025 Science of The Total Environment,Trophic rewilding by large herbivores reduces plant nitrogen and water limitation across seven sites irrespective of their edaphic conditions,https://doi.org/10.1016/j.scitotenv.2025.179141,Mix,Rewilding in six areas for a couple of years,"",each area compared with one nearby control,Unkown,"no feeding or drugs, but likely population control somehow",distal comparison with and without,with_introduction,100,1,1000000,1,10000,4 per treatment,,"",plot,Europe,50.237,14.889,"",MBV,Equus caballus; Bos taurus,"Introduced 3/2015, smaller herbivores such as roe deer have free access to control and treatment",likely kept artifically constant,0.25 Equus caballus; 0.09 Bos taurus,0,individuals,hectare,7,,2555,1,2022,cumulative,soil_nutrients,soil,soil,higher_level,soil,Dissolved NH4-N,ng/g,mean,SD,"","",633,51,4,633,43,4,"","",JT,soil_n,142.5,419.117647058824,750,30.9195633007696,0.00277646753467153,0,0.5,0,0.666666666666667,0,1
dp_20,Kaštovská et al 2025 Science of The Total Environment,Trophic rewilding by large herbivores reduces plant nitrogen and water limitation across seven sites irrespective of their edaphic conditions,https://doi.org/10.1016/j.scitotenv.2025.179141,Mix,Rewilding in six areas for a couple of years,"",each area compared with one nearby control,Unkown,"no feeding or drugs, but likely population control somehow",distal comparison with and without,with_introduction,250,1,2500000,1,10000,4 per treatment,,"",plot,Europe,50.279,14.882,"",MTR,Equus caballus; Bison bonasus; Bos taurus,"Introduced 12/2015, smaller herbivores such as roe deer have free access to control and treatment",likely kept artifically constant,0.16 Equus caballus; 0.12 Bison bonasus; 0.02 Bos taurus,0,individuals,hectare,7,,2555,1,2022,cumulative,soil_nutrients,soil,soil,higher_level,soil,Dissolved NH4-N,ng/g,mean,SD,"","",649,148,4,598,55,4,"","",JT,soil_n,123,410,750,27.0882783257467,0.0151156882109756,0.0818419627534583,0.50984037943569,0.396794746652517,0.687312039767858,0.396794746652517,1
