data_point_id,citation,experimental_mechanism,site_name,individuals_ha,species,mass_kg,common_name,biomass_kg_ha
dp_306,Dvorský et al 2022 Plant Ecology,distal comparison with and without,National Nature Monument Mladá,0.16,Bos primigenius taurus,750,Cattle,120
dp_306,Dvorský et al 2022 Plant Ecology,distal comparison with and without,National Nature Monument Mladá,0.26,Equus ferus caballus,300,Horse,78
dp_307,Dvorský et al 2022 Plant Ecology,distal comparison with and without,National Nature Monument Mladá,0.16,Bos primigenius taurus,750,Cattle,120
dp_307,Dvorský et al 2022 Plant Ecology,distal comparison with and without,National Nature Monument Mladá,0.26,Equus ferus caballus,300,Horse,78
dp_308,Dvorský et al 2022 Plant Ecology,distal comparison with and without,National Nature Monument Mladá,0.16,Bos primigenius taurus,750,Cattle,120
dp_308,Dvorský et al 2022 Plant Ecology,distal comparison with and without,National Nature Monument Mladá,0.26,Equus ferus caballus,300,Horse,78
dp_309,Dvorský et al 2022 Plant Ecology,distal comparison with and without,National Nature Monument Mladá,0.16,Bos primigenius taurus,750,Cattle,120
dp_309,Dvorský et al 2022 Plant Ecology,distal comparison with and without,National Nature Monument Mladá,0.26,Equus ferus caballus,300,Horse,78
dp_310,Fischer et al 2022 Biogeosciences,distal comparison with and without,Pleistocene Park,0.008,Bos primigenius taurus,750,Cattle,6
dp_310,Fischer et al 2022 Biogeosciences,distal comparison with and without,Pleistocene Park,0.02,Equus ferus caballus,300,Horse,6
dp_310,Fischer et al 2022 Biogeosciences,distal comparison with and without,Pleistocene Park,0.005,Alces alces,356.998,Moose,1.78499
dp_310,Fischer et al 2022 Biogeosciences,distal comparison with and without,Pleistocene Park,0.004,Ovibos moschatus,340.5011,Muskox,1.3620044
dp_310,Fischer et al 2022 Biogeosciences,distal comparison with and without,Pleistocene Park,0.0175,Bison bison,579.2553,American Bison,10.13696775
dp_310,Fischer et al 2022 Biogeosciences,distal comparison with and without,Pleistocene Park,0.0125,Rangifer tarandus,86.034,Caribou; Reindeer,1.075425
dp_310,Fischer et al 2022 Biogeosciences,distal comparison with and without,Pleistocene Park,5e-04,Bison bonasus,500,European Bison,0.25
dp_310,Fischer et al 2022 Biogeosciences,distal comparison with and without,Pleistocene Park,0.004,Bos mutus,546.25,Yak,2.185
dp_310,Fischer et al 2022 Biogeosciences,distal comparison with and without,Pleistocene Park,0.009,Ovis orientalis aries,39.097,Domestic sheep,0.351873
dp_311,Fischer et al 2022 Biogeosciences,distal comparison with and without,Pleistocene Park,0.008,Bos primigenius taurus,750,Cattle,6
dp_311,Fischer et al 2022 Biogeosciences,distal comparison with and without,Pleistocene Park,0.02,Equus ferus caballus,300,Horse,6
dp_311,Fischer et al 2022 Biogeosciences,distal comparison with and without,Pleistocene Park,0.005,Alces alces,356.998,Moose,1.78499
dp_311,Fischer et al 2022 Biogeosciences,distal comparison with and without,Pleistocene Park,0.004,Ovibos moschatus,340.5011,Muskox,1.3620044
dp_311,Fischer et al 2022 Biogeosciences,distal comparison with and without,Pleistocene Park,0.0175,Bison bison,579.2553,American Bison,10.13696775
dp_311,Fischer et al 2022 Biogeosciences,distal comparison with and without,Pleistocene Park,0.0125,Rangifer tarandus,86.034,Caribou; Reindeer,1.075425
