data_point_id,citation,experimental_mechanism,site_name,individuals_ha,species,mass_kg,common_name,biomass_kg_ha
dp_431,Kohyani et al 2008 Biological Conservation,inside vs outside exclosure,Ter Yde,0.3,Equus ferus caballus,300,Horse,90
dp_431,Kohyani et al 2008 Biological Conservation,inside vs outside exclosure,Ter Yde,1.56,Ovis orientalis aries,39.097,Domestic sheep,60.99132
dp_432,Kohyani et al 2008 Biological Conservation,inside vs outside exclosure,Ter Yde,0.3,Equus ferus caballus,300,Horse,90
dp_432,Kohyani et al 2008 Biological Conservation,inside vs outside exclosure,Ter Yde,1.56,Ovis orientalis aries,39.097,Domestic sheep,60.99132
dp_433,Kohyani et al 2008 Biological Conservation,inside vs outside exclosure,Westhoek-south,0.09,Bos primigenius taurus,750,Cattle,67.5
dp_433,Kohyani et al 2008 Biological Conservation,inside vs outside exclosure,Westhoek-south,0.34,Equus ferus caballus,300,Horse,102
dp_434,Kohyani et al 2008 Biological Conservation,inside vs outside exclosure,Westhoek-south,0.09,Bos primigenius taurus,750,Cattle,67.5
dp_434,Kohyani et al 2008 Biological Conservation,inside vs outside exclosure,Westhoek-south,0.34,Equus ferus caballus,300,Horse,102
dp_435,Kohyani et al 2008 Biological Conservation,inside vs outside exclosure,Westhoek-south-north,0.08,Bos primigenius taurus,750,Cattle,60
dp_435,Kohyani et al 2008 Biological Conservation,inside vs outside exclosure,Westhoek-south-north,0.16,Equus ferus caballus,300,Horse,48
dp_436,Kohyani et al 2008 Biological Conservation,inside vs outside exclosure,Ghyvelde,0.173,Equus ferus caballus,300,Horse,51.9
dp_437,Kohyani et al 2008 Biological Conservation,inside vs outside exclosure,Ghyvelde,0.173,Equus ferus caballus,300,Horse,51.9
dp_438,Kohyani et al 2008 Biological Conservation,inside vs outside exclosure,Cabour,0.433,Equus ferus caballus,300,Horse,129.9
dp_439,Kohyani et al 2008 Biological Conservation,inside vs outside exclosure,Cabour,0.433,Equus ferus caballus,300,Horse,129.9
dp_440,Kohyani et al 2008 Biological Conservation,inside vs outside exclosure,Ter Yde,0.3,Equus ferus caballus,300,Horse,90
dp_440,Kohyani et al 2008 Biological Conservation,inside vs outside exclosure,Ter Yde,1.56,Ovis orientalis aries,39.097,Domestic sheep,60.99132
dp_441,Kohyani et al 2008 Biological Conservation,inside vs outside exclosure,Ter Yde,0.3,Equus ferus caballus,300,Horse,90
dp_441,Kohyani et al 2008 Biological Conservation,inside vs outside exclosure,Ter Yde,1.56,Ovis orientalis aries,39.097,Domestic sheep,60.99132
dp_442,Kohyani et al 2008 Biological Conservation,inside vs outside exclosure,Ter Yde,0.3,Equus ferus caballus,300,Horse,90
dp_442,Kohyani et al 2008 Biological Conservation,inside vs outside exclosure,Ter Yde,1.56,Ovis orientalis aries,39.097,Domestic sheep,60.99132
dp_443,Kohyani et al 2008 Biological Conservation,inside vs outside exclosure,Westhoek-south,0.09,Bos primigenius taurus,750,Cattle,67.5
dp_443,Kohyani et al 2008 Biological Conservation,inside vs outside exclosure,Westhoek-south,0.34,Equus ferus caballus,300,Horse,102
dp_444,Kohyani et al 2008 Biological Conservation,inside vs outside exclosure,Westhoek-south,0.09,Bos primigenius taurus,750,Cattle,67.5
dp_444,Kohyani et al 2008 Biological Conservation,inside vs outside exclosure,Westhoek-south,0.34,Equus ferus caballus,300,Horse,102
dp_445,Kohyani et al 2008 Biological Conservation,inside vs outside exclosure,Westhoek-south-north,0.08,Bos primigenius taurus,750,Cattle,60
dp_445,Kohyani et al 2008 Biological Conservation,inside vs outside exclosure,Westhoek-south-north,0.16,Equus ferus caballus,300,Horse,48
dp_446,Smit et al 2001 Plant Ecology,inside vs outside exclosure,National Park De Hoge Veluwe,0.046,Cervus elaphus,131.25,Red Deer,6.0375
dp_446,Smit et al 2001 Plant Ecology,inside vs outside exclosure,National Park De Hoge Veluwe,0.046,Ovis orientalis,60,Mouflon,2.76
dp_447,Ward et al 1999 Journal of Vegetation Science,inside vs outside exclosure,Makhtesh Ramon,0.005,Equus hemionus,200,Asiatic Wild Ass,1
dp_448,Ward et al 1999 Journal of Vegetation Science,inside vs outside exclosure,Makhtesh Ramon,0.005,Equus hemionus,200,Asiatic Wild Ass,1
dp_449,Ward et al 1999 Journal of Vegetation Science,inside vs outside exclosure,Makhtesh Ramon,0.005,Equus hemionus,200,Asiatic Wild Ass,1
dp_450,Ward et al 1999 Journal of Vegetation Science,inside vs outside exclosure,Makhtesh Ramon,0.005,Equus hemionus,200,Asiatic Wild Ass,1
dp_451,Collins et al 1998 Science,distal comparison with and without,Konza Prairie Biological Station,0.26,Bison bison,579.2553,American Bison,150.606378
dp_452,Collins et al 1998 Science,distal comparison with and without,Konza Prairie Biological Station,0.26,Bison bison,579.2553,American Bison,150.606378
dp_453,Collins et al 1998 Science,distal comparison with and without,Konza Prairie Biological Station,0.26,Bison bison,579.2553,American Bison,150.606378
dp_454,Collins et al 1998 Science,distal comparison with and without,Konza Prairie Biological Station,0.26,Bison bison,579.2553,American Bison,150.606378
dp_455,Collins et al 1998 Science,distal comparison with and without,Konza Prairie Biological Station,0.26,Bison bison,579.2553,American Bison,150.606378
dp_456,Veen et al 2024 Oikos,inside vs outside exclosure,National Park De Hoge Veluwe,0.025,Bos primigenius taurus,750,Cattle,18.75
dp_456,Veen et al 2024 Oikos,inside vs outside exclosure,National Park De Hoge Veluwe,0.025,Equus ferus caballus,300,Horse,7.5
dp_457,Veen et al 2024 Oikos,inside vs outside exclosure,National Park De Hoge Veluwe,0.025,Bos primigenius taurus,750,Cattle,18.75
dp_457,Veen et al 2024 Oikos,inside vs outside exclosure,National Park De Hoge Veluwe,0.025,Equus ferus caballus,300,Horse,7.5
dp_458,Veen et al 2024 Oikos,inside vs outside exclosure,National Park De Hoge Veluwe,0.025,Bos primigenius taurus,750,Cattle,18.75
dp_458,Veen et al 2024 Oikos,inside vs outside exclosure,National Park De Hoge Veluwe,0.025,Equus ferus caballus,300,Horse,7.5
dp_459,Veen et al 2024 Oikos,inside vs outside exclosure,National Park De Hoge Veluwe,0.025,Bos primigenius taurus,750,Cattle,18.75
dp_459,Veen et al 2024 Oikos,inside vs outside exclosure,National Park De Hoge Veluwe,0.025,Equus ferus caballus,300,Horse,7.5
dp_460,Veen et al 2024 Oikos,inside vs outside exclosure,National Park De Hoge Veluwe,0.025,Bos primigenius taurus,750,Cattle,18.75
dp_460,Veen et al 2024 Oikos,inside vs outside exclosure,National Park De Hoge Veluwe,0.025,Equus ferus caballus,300,Horse,7.5
dp_461,Veen et al 2024 Oikos,inside vs outside exclosure,National Park De Hoge Veluwe,0.025,Bos primigenius taurus,750,Cattle,18.75
dp_461,Veen et al 2024 Oikos,inside vs outside exclosure,National Park De Hoge Veluwe,0.025,Equus ferus caballus,300,Horse,7.5
dp_462,Veen et al 2024 Oikos,inside vs outside exclosure,National Park De Hoge Veluwe,0.025,Bos primigenius taurus,750,Cattle,18.75
dp_462,Veen et al 2024 Oikos,inside vs outside exclosure,National Park De Hoge Veluwe,0.025,Equus ferus caballus,300,Horse,7.5
dp_463,Tapia et al 2021 Restoration Ecology,inside vs outside exclosure,Santa Fe Island,0.21,Chelonoidis hoodensis,50,Giant Tortoise,10.5
dp_464,Tapia et al 2021 Restoration Ecology,inside vs outside exclosure,Santa Fe Island,0.21,Chelonoidis hoodensis,50,Giant Tortoise,10.5
dp_465,Tapia et al 2021 Restoration Ecology,inside vs outside exclosure,Santa Fe Island,0.21,Chelonoidis hoodensis,50,Giant Tortoise,10.5
dp_466,Tapia et al 2021 Restoration Ecology,inside vs outside exclosure,Santa Fe Island,0.21,Chelonoidis hoodensis,50,Giant Tortoise,10.5
dp_467,Tapia et al 2021 Restoration Ecology,inside vs outside exclosure,Santa Fe Island,0.21,Chelonoidis hoodensis,50,Giant Tortoise,10.5
dp_468,Tapia et al 2021 Restoration Ecology,inside vs outside exclosure,Santa Fe Island,0.21,Chelonoidis hoodensis,50,Giant Tortoise,10.5
dp_469,Tapia et al 2021 Restoration Ecology,inside vs outside exclosure,Santa Fe Island,0.21,Chelonoidis hoodensis,50,Giant Tortoise,10.5
dp_470,Tapia et al 2021 Restoration Ecology,inside vs outside exclosure,Santa Fe Island,0.21,Chelonoidis hoodensis,50,Giant Tortoise,10.5
dp_471,Tapia et al 2021 Restoration Ecology,inside vs outside exclosure,Santa Fe Island,0.21,Chelonoidis hoodensis,50,Giant Tortoise,10.5
dp_472,Tapia et al 2021 Restoration Ecology,inside vs outside exclosure,Santa Fe Island,0.21,Chelonoidis hoodensis,50,Giant Tortoise,10.5
dp_473,Tapia et al 2021 Restoration Ecology,inside vs outside exclosure,Santa Fe Island,0.21,Chelonoidis hoodensis,50,Giant Tortoise,10.5
dp_474,Tapia et al 2021 Restoration Ecology,inside vs outside exclosure,Santa Fe Island,0.21,Chelonoidis hoodensis,50,Giant Tortoise,10.5
dp_475,Tapia et al 2021 Restoration Ecology,inside vs outside exclosure,Santa Fe Island,0.21,Chelonoidis hoodensis,50,Giant Tortoise,10.5
dp_476,Tapia et al 2021 Restoration Ecology,inside vs outside exclosure,Santa Fe Island,0.21,Chelonoidis hoodensis,50,Giant Tortoise,10.5
dp_477,Tapia et al 2021 Restoration Ecology,inside vs outside exclosure,Santa Fe Island,0.21,Chelonoidis hoodensis,50,Giant Tortoise,10.5
dp_478,Tapia et al 2021 Restoration Ecology,inside vs outside exclosure,Santa Fe Island,0.21,Chelonoidis hoodensis,50,Giant Tortoise,10.5
dp_479,Tapia et al 2021 Restoration Ecology,inside vs outside exclosure,Santa Fe Island,0.21,Chelonoidis hoodensis,50,Giant Tortoise,10.5
dp_480,Tapia et al 2021 Restoration Ecology,inside vs outside exclosure,Santa Fe Island,0.21,Chelonoidis hoodensis,50,Giant Tortoise,10.5
dp_481,"Rupprecht et al 2016 Agriculture, Ecosystems & Environment",distal comparison with and without,North-West Germany & Netherlands,0.2,Bos primigenius taurus,750,Cattle,150
dp_481,"Rupprecht et al 2016 Agriculture, Ecosystems & Environment",distal comparison with and without,North-West Germany & Netherlands,0.2,Equus ferus caballus,300,Horse,60
dp_482,"Rupprecht et al 2016 Agriculture, Ecosystems & Environment",distal comparison with and without,North-West Germany & Netherlands,0.2,Bos primigenius taurus,750,Cattle,150
dp_482,"Rupprecht et al 2016 Agriculture, Ecosystems & Environment",distal comparison with and without,North-West Germany & Netherlands,0.2,Equus ferus caballus,300,Horse,60
dp_483,"Rupprecht et al 2016 Agriculture, Ecosystems & Environment",distal comparison with and without,North-West Germany & Netherlands,0.2,Bos primigenius taurus,750,Cattle,150
dp_483,"Rupprecht et al 2016 Agriculture, Ecosystems & Environment",distal comparison with and without,North-West Germany & Netherlands,0.2,Equus ferus caballus,300,Horse,60
dp_484,"Rupprecht et al 2016 Agriculture, Ecosystems & Environment",distal comparison with and without,North-West Germany & Netherlands,0.2,Bos primigenius taurus,750,Cattle,150
dp_484,"Rupprecht et al 2016 Agriculture, Ecosystems & Environment",distal comparison with and without,North-West Germany & Netherlands,0.2,Equus ferus caballus,300,Horse,60
dp_485,"Rupprecht et al 2016 Agriculture, Ecosystems & Environment",distal comparison with and without,North-West Germany & Netherlands,0.2,Bos primigenius taurus,750,Cattle,150
dp_485,"Rupprecht et al 2016 Agriculture, Ecosystems & Environment",distal comparison with and without,North-West Germany & Netherlands,0.2,Equus ferus caballus,300,Horse,60
dp_486,"Rupprecht et al 2016 Agriculture, Ecosystems & Environment",distal comparison with and without,North-West Germany & Netherlands,0.2,Bos primigenius taurus,750,Cattle,150
dp_486,"Rupprecht et al 2016 Agriculture, Ecosystems & Environment",distal comparison with and without,North-West Germany & Netherlands,0.2,Equus ferus caballus,300,Horse,60
dp_487,"Rupprecht et al 2016 Agriculture, Ecosystems & Environment",distal comparison with and without,North-West Germany & Netherlands,0.2,Bos primigenius taurus,750,Cattle,150
dp_487,"Rupprecht et al 2016 Agriculture, Ecosystems & Environment",distal comparison with and without,North-West Germany & Netherlands,0.2,Equus ferus caballus,300,Horse,60
dp_488,"Rupprecht et al 2016 Agriculture, Ecosystems & Environment",distal comparison with and without,North-West Germany & Netherlands,0.2,Bos primigenius taurus,750,Cattle,150
dp_488,"Rupprecht et al 2016 Agriculture, Ecosystems & Environment",distal comparison with and without,North-West Germany & Netherlands,0.2,Equus ferus caballus,300,Horse,60
dp_489,"Rupprecht et al 2016 Agriculture, Ecosystems & Environment",distal comparison with and without,North-West Germany & Netherlands,0.2,Bos primigenius taurus,750,Cattle,150
dp_489,"Rupprecht et al 2016 Agriculture, Ecosystems & Environment",distal comparison with and without,North-West Germany & Netherlands,0.2,Equus ferus caballus,300,Horse,60
dp_490,"Rupprecht et al 2016 Agriculture, Ecosystems & Environment",distal comparison with and without,North-West Germany & Netherlands,0.2,Bos primigenius taurus,750,Cattle,150
dp_490,"Rupprecht et al 2016 Agriculture, Ecosystems & Environment",distal comparison with and without,North-West Germany & Netherlands,0.2,Equus ferus caballus,300,Horse,60
dp_491,"Rupprecht et al 2016 Agriculture, Ecosystems & Environment",distal comparison with and without,North-West Germany & Netherlands,0.2,Bos primigenius taurus,750,Cattle,150
dp_491,"Rupprecht et al 2016 Agriculture, Ecosystems & Environment",distal comparison with and without,North-West Germany & Netherlands,0.2,Equus ferus caballus,300,Horse,60
dp_492,"Rupprecht et al 2016 Agriculture, Ecosystems & Environment",distal comparison with and without,North-West Germany & Netherlands,0.2,Bos primigenius taurus,750,Cattle,150
dp_492,"Rupprecht et al 2016 Agriculture, Ecosystems & Environment",distal comparison with and without,North-West Germany & Netherlands,0.2,Equus ferus caballus,300,Horse,60
dp_493,"Rupprecht et al 2016 Agriculture, Ecosystems & Environment",distal comparison with and without,North-West Germany & Netherlands,0.2,Bos primigenius taurus,750,Cattle,150
dp_493,"Rupprecht et al 2016 Agriculture, Ecosystems & Environment",distal comparison with and without,North-West Germany & Netherlands,0.2,Equus ferus caballus,300,Horse,60
dp_494,"Rupprecht et al 2016 Agriculture, Ecosystems & Environment",distal comparison with and without,North-West Germany & Netherlands,0.2,Bos primigenius taurus,750,Cattle,150
dp_494,"Rupprecht et al 2016 Agriculture, Ecosystems & Environment",distal comparison with and without,North-West Germany & Netherlands,0.2,Equus ferus caballus,300,Horse,60
dp_495,"Rupprecht et al 2016 Agriculture, Ecosystems & Environment",distal comparison with and without,North-West Germany & Netherlands,0.2,Bos primigenius taurus,750,Cattle,150
dp_495,"Rupprecht et al 2016 Agriculture, Ecosystems & Environment",distal comparison with and without,North-West Germany & Netherlands,0.2,Equus ferus caballus,300,Horse,60
dp_496,"Rupprecht et al 2016 Agriculture, Ecosystems & Environment",distal comparison with and without,North-West Germany & Netherlands,0.2,Bos primigenius taurus,750,Cattle,150
dp_496,"Rupprecht et al 2016 Agriculture, Ecosystems & Environment",distal comparison with and without,North-West Germany & Netherlands,0.2,Equus ferus caballus,300,Horse,60
dp_497,"Rupprecht et al 2016 Agriculture, Ecosystems & Environment",distal comparison with and without,North-West Germany & Netherlands,0.2,Bos primigenius taurus,750,Cattle,150
dp_497,"Rupprecht et al 2016 Agriculture, Ecosystems & Environment",distal comparison with and without,North-West Germany & Netherlands,0.2,Equus ferus caballus,300,Horse,60
dp_498,"Rupprecht et al 2016 Agriculture, Ecosystems & Environment",distal comparison with and without,North-West Germany & Netherlands,0.2,Bos primigenius taurus,750,Cattle,150
dp_498,"Rupprecht et al 2016 Agriculture, Ecosystems & Environment",distal comparison with and without,North-West Germany & Netherlands,0.2,Equus ferus caballus,300,Horse,60
dp_499,"Rupprecht et al 2016 Agriculture, Ecosystems & Environment",distal comparison with and without,North-West Germany & Netherlands,0.2,Bos primigenius taurus,750,Cattle,150
dp_499,"Rupprecht et al 2016 Agriculture, Ecosystems & Environment",distal comparison with and without,North-West Germany & Netherlands,0.2,Equus ferus caballus,300,Horse,60
dp_500,"Rupprecht et al 2016 Agriculture, Ecosystems & Environment",distal comparison with and without,North-West Germany & Netherlands,0.2,Bos primigenius taurus,750,Cattle,150
dp_500,"Rupprecht et al 2016 Agriculture, Ecosystems & Environment",distal comparison with and without,North-West Germany & Netherlands,0.2,Equus ferus caballus,300,Horse,60
dp_501,"Rupprecht et al 2016 Agriculture, Ecosystems & Environment",distal comparison with and without,North-West Germany & Netherlands,0.2,Bos primigenius taurus,750,Cattle,150
dp_501,"Rupprecht et al 2016 Agriculture, Ecosystems & Environment",distal comparison with and without,North-West Germany & Netherlands,0.2,Equus ferus caballus,300,Horse,60
dp_502,"Rupprecht et al 2016 Agriculture, Ecosystems & Environment",distal comparison with and without,North-West Germany & Netherlands,0.2,Bos primigenius taurus,750,Cattle,150
dp_502,"Rupprecht et al 2016 Agriculture, Ecosystems & Environment",distal comparison with and without,North-West Germany & Netherlands,0.2,Equus ferus caballus,300,Horse,60
dp_503,Stroh et al 2021 European Journal of Ecology,inside vs outside exclosure,Wicked Fen,0.12,Bos primigenius taurus,750,Cattle,90
dp_503,Stroh et al 2021 European Journal of Ecology,inside vs outside exclosure,Wicked Fen,0.41,Equus ferus caballus,300,Horse,123
dp_504,Stroh et al 2021 European Journal of Ecology,inside vs outside exclosure,Wicked Fen,0.12,Bos primigenius taurus,750,Cattle,90
dp_504,Stroh et al 2021 European Journal of Ecology,inside vs outside exclosure,Wicked Fen,0.41,Equus ferus caballus,300,Horse,123
dp_505,Stroh et al 2021 European Journal of Ecology,inside vs outside exclosure,Wicked Fen,0.12,Bos primigenius taurus,750,Cattle,90
dp_505,Stroh et al 2021 European Journal of Ecology,inside vs outside exclosure,Wicked Fen,0.41,Equus ferus caballus,300,Horse,123
dp_506,Stroh et al 2021 European Journal of Ecology,inside vs outside exclosure,Wicked Fen,0.12,Bos primigenius taurus,750,Cattle,90
dp_506,Stroh et al 2021 European Journal of Ecology,inside vs outside exclosure,Wicked Fen,0.41,Equus ferus caballus,300,Horse,123
dp_507,Stroh et al 2021 European Journal of Ecology,inside vs outside exclosure,Wicked Fen,0.12,Bos primigenius taurus,750,Cattle,90
dp_507,Stroh et al 2021 European Journal of Ecology,inside vs outside exclosure,Wicked Fen,0.41,Equus ferus caballus,300,Horse,123
dp_508,Stroh et al 2021 European Journal of Ecology,inside vs outside exclosure,Wicked Fen,0.12,Bos primigenius taurus,750,Cattle,90
dp_508,Stroh et al 2021 European Journal of Ecology,inside vs outside exclosure,Wicked Fen,0.41,Equus ferus caballus,300,Horse,123
dp_509,Stroh et al 2021 European Journal of Ecology,inside vs outside exclosure,Wicked Fen,0.12,Bos primigenius taurus,750,Cattle,90
dp_509,Stroh et al 2021 European Journal of Ecology,inside vs outside exclosure,Wicked Fen,0.41,Equus ferus caballus,300,Horse,123
dp_510,Stroh et al 2021 European Journal of Ecology,inside vs outside exclosure,Wicked Fen,0.12,Bos primigenius taurus,750,Cattle,90
dp_510,Stroh et al 2021 European Journal of Ecology,inside vs outside exclosure,Wicked Fen,0.41,Equus ferus caballus,300,Horse,123
dp_511,del Valle et al 2024 The Journal of Wildlife Management,distal comparison with and without,Nachusa Grasslands,0.16,Bison bison,579.2553,American Bison,92.680848
dp_512,del Valle et al 2024 The Journal of Wildlife Management,distal comparison with and without,Nachusa Grasslands,0.16,Bison bison,579.2553,American Bison,92.680848
dp_513,del Valle et al 2024 The Journal of Wildlife Management,distal comparison with and without,Nachusa Grasslands,0.16,Bison bison,579.2553,American Bison,92.680848
dp_514,del Valle et al 2024 The Journal of Wildlife Management,distal comparison with and without,Nachusa Grasslands,0.16,Bison bison,579.2553,American Bison,92.680848
dp_515,del Valle et al 2024 The Journal of Wildlife Management,distal comparison with and without,Nachusa Grasslands,0.16,Bison bison,579.2553,American Bison,92.680848
dp_516,del Valle et al 2024 The Journal of Wildlife Management,distal comparison with and without,Nachusa Grasslands,0.16,Bison bison,579.2553,American Bison,92.680848
dp_517,del Valle et al 2024 The Journal of Wildlife Management,distal comparison with and without,Nachusa Grasslands,0.16,Bison bison,579.2553,American Bison,92.680848
dp_518,del Valle et al 2024 The Journal of Wildlife Management,distal comparison with and without,Nachusa Grasslands,0.16,Bison bison,579.2553,American Bison,92.680848
dp_519,del Valle et al 2024 The Journal of Wildlife Management,distal comparison with and without,Nachusa Grasslands,0.16,Bison bison,579.2553,American Bison,92.680848
dp_520,del Valle et al 2024 The Journal of Wildlife Management,distal comparison with and without,Nachusa Grasslands,0.16,Bison bison,579.2553,American Bison,92.680848
dp_521,del Valle et al 2024 The Journal of Wildlife Management,distal comparison with and without,Nachusa Grasslands,0.16,Bison bison,579.2553,American Bison,92.680848
dp_522,del Valle et al 2024 The Journal of Wildlife Management,distal comparison with and without,Nachusa Grasslands,0.16,Bison bison,579.2553,American Bison,92.680848
dp_523,del Valle et al 2024 The Journal of Wildlife Management,distal comparison with and without,Nachusa Grasslands,0.16,Bison bison,579.2553,American Bison,92.680848
dp_524,del Valle et al 2024 The Journal of Wildlife Management,distal comparison with and without,Nachusa Grasslands,0.16,Bison bison,579.2553,American Bison,92.680848
dp_525,del Valle et al 2024 The Journal of Wildlife Management,distal comparison with and without,Nachusa Grasslands,0.16,Bison bison,579.2553,American Bison,92.680848
dp_526,del Valle et al 2024 The Journal of Wildlife Management,distal comparison with and without,Nachusa Grasslands,0.16,Bison bison,579.2553,American Bison,92.680848
dp_527,Garrido et al 2022 Journal of Insect Conservation,inside vs outside exclosure,Krusenberg,0.35,Equus ferus caballus,300,Horse,105
dp_528,Garrido et al 2022 Journal of Insect Conservation,inside vs outside exclosure,Krusenberg,0.35,Equus ferus caballus,300,Horse,105
dp_529,Garrido et al 2022 Journal of Insect Conservation,inside vs outside exclosure,Krusenberg,0.35,Equus ferus caballus,300,Horse,105
dp_530,Garrido et al 2022 Journal of Insect Conservation,inside vs outside exclosure,Krusenberg,0.35,Equus ferus caballus,300,Horse,105
dp_531,Mata et al 2025 Applied Vegetation Science,inside vs outside exclosure,Rincón del Socorro,,Hydrochoerus hydrochaeris,50,Capybara,
dp_531,Mata et al 2025 Applied Vegetation Science,inside vs outside exclosure,Rincón del Socorro,,Ozotoceros bezoarticus,40,Pampas Deer,
dp_531,Mata et al 2025 Applied Vegetation Science,inside vs outside exclosure,Rincón del Socorro,,Pecari tajacu,21.2667,Collared Peccary,
dp_531,Mata et al 2025 Applied Vegetation Science,inside vs outside exclosure,Rincón del Socorro,,Tapirus terrestris,207.5009,Lowland Tapir,
dp_532,Mata et al 2025 Applied Vegetation Science,inside vs outside exclosure,Rincón del Socorro,,Hydrochoerus hydrochaeris,50,Capybara,
dp_532,Mata et al 2025 Applied Vegetation Science,inside vs outside exclosure,Rincón del Socorro,,Ozotoceros bezoarticus,40,Pampas Deer,
dp_532,Mata et al 2025 Applied Vegetation Science,inside vs outside exclosure,Rincón del Socorro,,Pecari tajacu,21.2667,Collared Peccary,
dp_532,Mata et al 2025 Applied Vegetation Science,inside vs outside exclosure,Rincón del Socorro,,Tapirus terrestris,207.5009,Lowland Tapir,
dp_533,Mata et al 2025 Applied Vegetation Science,inside vs outside exclosure,Rincón del Socorro,,Hydrochoerus hydrochaeris,50,Capybara,
dp_533,Mata et al 2025 Applied Vegetation Science,inside vs outside exclosure,Rincón del Socorro,,Ozotoceros bezoarticus,40,Pampas Deer,
dp_533,Mata et al 2025 Applied Vegetation Science,inside vs outside exclosure,Rincón del Socorro,,Pecari tajacu,21.2667,Collared Peccary,
dp_533,Mata et al 2025 Applied Vegetation Science,inside vs outside exclosure,Rincón del Socorro,,Tapirus terrestris,207.5009,Lowland Tapir,
dp_534,Mata et al 2025 Applied Vegetation Science,inside vs outside exclosure,Rincón del Socorro,,Hydrochoerus hydrochaeris,50,Capybara,
dp_534,Mata et al 2025 Applied Vegetation Science,inside vs outside exclosure,Rincón del Socorro,,Ozotoceros bezoarticus,40,Pampas Deer,
dp_534,Mata et al 2025 Applied Vegetation Science,inside vs outside exclosure,Rincón del Socorro,,Pecari tajacu,21.2667,Collared Peccary,
dp_534,Mata et al 2025 Applied Vegetation Science,inside vs outside exclosure,Rincón del Socorro,,Tapirus terrestris,207.5009,Lowland Tapir,
dp_535,Mata et al 2025 Applied Vegetation Science,inside vs outside exclosure,Rincón del Socorro,,Hydrochoerus hydrochaeris,50,Capybara,
dp_535,Mata et al 2025 Applied Vegetation Science,inside vs outside exclosure,Rincón del Socorro,,Ozotoceros bezoarticus,40,Pampas Deer,
dp_535,Mata et al 2025 Applied Vegetation Science,inside vs outside exclosure,Rincón del Socorro,,Pecari tajacu,21.2667,Collared Peccary,
dp_535,Mata et al 2025 Applied Vegetation Science,inside vs outside exclosure,Rincón del Socorro,,Tapirus terrestris,207.5009,Lowland Tapir,
dp_536,Mata et al 2025 Applied Vegetation Science,inside vs outside exclosure,Rincón del Socorro,,Hydrochoerus hydrochaeris,50,Capybara,
dp_536,Mata et al 2025 Applied Vegetation Science,inside vs outside exclosure,Rincón del Socorro,,Ozotoceros bezoarticus,40,Pampas Deer,
dp_536,Mata et al 2025 Applied Vegetation Science,inside vs outside exclosure,Rincón del Socorro,,Pecari tajacu,21.2667,Collared Peccary,
dp_536,Mata et al 2025 Applied Vegetation Science,inside vs outside exclosure,Rincón del Socorro,,Tapirus terrestris,207.5009,Lowland Tapir,
