Site.Name,Reintroduction.Time,Grewia.SA_m2,Grewia.Den_0.05ha,Comapi.SA_m2,Comapi.Den_0.05ha,All.Shrub.Den_0.05ha,All.Shrub.SA_m2,All.Shurb.Damage_Percent,CWD.Small.Abu_Int150points,CWD.Medium.Abu_Int150points,CWD.Large.Abu_Int150points,HBT.Small.Hollow.Den_10ha,HBT.Medium.Hollow.Den_10ha,HBT.Large.Hollow.Den_10ha,All.Tree.Den_10ha,Sen.nig.Den_10ha,Scl.bir.Den_10ha,All.Tree.Damage_percent
mak_4,1995,71.73990835,2,469.0974609,39,47,588.7188556,2,21,20,1,8,16,0,100,80,6,0
mak_5,1995,98.05010534,15,631.5791452,19,39,766.0126385,41,35,32,1,39,48,0,168,161,10,9
mak_6,1995,288.4743137,10,644.2487752,15,28,977.1793847,61,20,48,0,21,38,0,140,107,23,18
mak_7,1995,359.2069841,33,845.367344,30,66,1262.344635,65,35,56,8,22,14,0,156,76,76,26
mak_8,1995,51.65292315,8,766.9312907,24,43,867.0914225,33,18,40,5,36,33,7,127,100,20,17
mak_9,1995,276.7584093,18,372.0944264,10,34,721.8362943,38,35,48,15,28,25,7,72,67,10,20
bal_1,2003,130.5220603,17,358.7071962,26,48,543.3842578,42,26,71,5,22,16,3,38,23,10,27
bal_10,2003,30.35740444,4,111.9942519,7,21,278.5613433,38,12,39,3,8,0,0,12,0,12,100
bal_2,2003,335.2722221,34,253.5560433,24,65,853.8545996,15,37,50,0,31,29,0,196,187,23,0
bal_3,2003,190.0637971,22,467.820417,41,71,746.1264362,24,50,42,2,26,0,0,46,39,10,56
bal_4,2003,400.762302,46,310.3735085,58,124,1115.117098,25,29,60,2,14,25,0,65,35,30,50
bal_5,2003,77.44238814,10,198.1527095,16,35,618.1089988,29,24,51,1,39,43,0,110,67,40,33
bal_6,2003,71.5091395,8,87.02688386,7,21,274.1670617,38,23,45,1,44,48,0,69,53,6,40
bal_7,2003,102.9750558,15,409.7354199,22,48,621.7629189,46,22,53,2,16,29,0,62,48,18,40
bal_8,2003,123.6260962,12,295.7805568,15,34,666.3716745,71,25,38,2,50,15,0,98,92,6,20
bal_9,2003,52.06811422,5,256.3443992,8,16,359.9744204,62,24,36,0,8,15,0,65,28,30,40
bz_1,none,233.0543556,13,285.4628264,15,59,1121.247967,2,32,3,0,0,0,0,23,0,17,0
bz_2,none,427.892496,27,269.4787641,9,48,1020.098266,8,32,17,1,13,24,0,275,11,248,4
bz_3,none,184.6750057,8,524.5947324,18,40,1054.341187,10,74,4,0,0,24,0,141,55,85,7
bz_4,none,440.9637399,19,118.7883454,6,37,1273.788549,0,74,6,0,17,32,0,176,44,114,0
bz_5,none,227.9734977,6,482.2945117,13,23,976.622998,13,74,10,0,33,0,0,174,85,90,0
bz_6,none,127.8796639,7,284.2022716,9,32,1019.254722,6,63,0,0,20,0,0,103,52,37,15
ek_1,none,308.7948096,16,400.8769637,10,32,763.2973627,19,16,1,0,16,29,12,136,74,12,9
ek_2,none,524.0284628,31,333.124422,13,56,1256.230769,14,53,13,0,67,24,0,282,91,176,0
ek_3,none,354.403208,23,4.699692393,1,42,587.1143411,2,41,20,0,24,44,0,215,163,53,0
ek_4,none,634.4448015,35,192.6350829,9,55,1129.360391,13,46,13,0,24,43,0,203,121,78,5
