Site.Name,Reintroduction.Time,Alb.har,Bal.mau,Bol.spe,Bos.alb,Cas.abb,Cis.cor,Com.api,Com.col.sul,Com.imb,Comm.afr,Comm.mol,Dal.mal,Dic.cin,Gre.bic,Gre.flave,Gre.hex,Gre.mon,Gre.vill,Gym.bux,Lan.sch,Orm.tri,Ozo.pan,Pel.afr,Phi.vio,Scl.bir,Sen.eru,Sen.nig,Str.mad,Ter.pru,Ter.ser,Vac.exu,Ziz.muc
klas_9,1972,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0
mak_1,1995,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1
mak_10,1995,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0
mak_2,1995,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1
mak_3,1995,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
mak_4,1995,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0
mak_5,1995,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
mak_6,1995,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
mak_7,1995,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0
mak_8,1995,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
mak_9,1995,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
