Database,Area,QS_Subject_Area,Subject,ASJC_Code,Restrictive_exclusion
ASJC (Scopus),Life Sciences and Medicine,Dentistry,Dentistry (all),3500,Exclude
ASJC (Scopus),Life Sciences and Medicine,Dentistry,Dentistry (miscellaneous),3501,Exclude
ASJC (Scopus),Life Sciences and Medicine,Dentistry,Oral Surgery,3504,Exclude
ASJC (Scopus),Life Sciences and Medicine,Dentistry,Orthodontics,3505,Exclude
ASJC (Scopus),Life Sciences and Medicine,Dentistry,Periodontics,3506,Exclude
ASJC (Scopus),Social Sciences and Management,Development Studies,Development,3303,Exclude
ASJC (Scopus),Engineering and Technology,Earth and Marine Sciences,Ocean Engineering,2212,
ASJC (Scopus),Natural Sciences,Earth and Marine Sciences,Atmospheric Science,1902,Exclude
ASJC (Scopus),Natural Sciences,Earth and Marine Sciences,Computers in Earth Sciences,1903,
ASJC (Scopus),Natural Sciences,Earth and Marine Sciences,Earth and Planetary Sciences (all),1900,
ASJC (Scopus),Natural Sciences,Earth and Marine Sciences,Earth and Planetary Sciences (miscellaneous),1901,
ASJC (Scopus),Natural Sciences,Earth and Marine Sciences,Earth-Surface Processes,1904,
ASJC (Scopus),Natural Sciences,Earth and Marine Sciences,Economic Geology,1905,
ASJC (Scopus),Natural Sciences,Earth and Marine Sciences,Geochemistry and Petrology,1906,
ASJC (Scopus),Natural Sciences,Earth and Marine Sciences,Geology,1907,
ASJC (Scopus),Natural Sciences,Earth and Marine Sciences,Geophysics,1908,
ASJC (Scopus),Natural Sciences,Earth and Marine Sciences,Geotechnical Engineering and Engineering Geology,1909,
ASJC (Scopus),Natural Sciences,Earth and Marine Sciences,Oceanography,1910,
ASJC (Scopus),Natural Sciences,Earth and Marine Sciences,Paleontology,1911,
ASJC (Scopus),Natural Sciences,Earth and Marine Sciences,Space and Planetary Science,1912,
ASJC (Scopus),Natural Sciences,Earth and Marine Sciences,Stratigraphy,1913,
ASJC (Scopus),Social Sciences and Management,Economics and Econometrics,Economics and Econometrics,2002,Exclude
ASJC (Scopus),Social Sciences and Management,Economics and Econometrics,"Economics, Econometrics and Finance (all)",2000,Exclude
ASJC (Scopus),Social Sciences and Management,Economics and Econometrics,"Economics, Econometrics and Finance (miscellaneous)",2001,Exclude
ASJC (Scopus),Social Sciences and Management,Education,Education,3304,Exclude
ASJC (Scopus),Engineering and Technology,Electronic Engineering,Media Technology,2214,Exclude
ASJC (Scopus),Engineering and Technology,Engineering - Chemical,Bioengineering,1502,Exclude
ASJC (Scopus),Engineering and Technology,Engineering - Chemical,Catalysis,1503,Exclude
ASJC (Scopus),Engineering and Technology,Engineering - Chemical,Chemical Engineering (all),1500,Exclude
