Database,Area,QS_Subject_Area,Subject,ASJC_Code,Restrictive_exclusion
ASJC (Scopus),Life Sciences and Medicine,Other Studies and Professions Allied to Medicine,Medical Assisting and Transcription,3606,Exclude
ASJC (Scopus),Life Sciences and Medicine,Other Studies and Professions Allied to Medicine,Medical Laboratory Technology,3607,Exclude
ASJC (Scopus),Life Sciences and Medicine,Other Studies and Professions Allied to Medicine,Medical Terminology,3608,Exclude
ASJC (Scopus),Life Sciences and Medicine,Other Studies and Professions Allied to Medicine,Occupational Therapy,3609,Exclude
ASJC (Scopus),Life Sciences and Medicine,Other Studies and Professions Allied to Medicine,Optometry,3610,Exclude
ASJC (Scopus),Life Sciences and Medicine,Other Studies and Professions Allied to Medicine,Podiatry,3613,Exclude
ASJC (Scopus),Life Sciences and Medicine,Other Studies and Professions Allied to Medicine,Radiological and Ultrasound Technology,3614,Exclude
ASJC (Scopus),Life Sciences and Medicine,Other Studies and Professions Allied to Medicine,Respiratory Care,3615,Exclude
ASJC (Scopus),Life Sciences and Medicine,Other Studies and Professions Allied to Medicine,Speech and Hearing,3616,Exclude
ASJC (Scopus),Arts and Humanities,Performing Arts,"History of Art, Architecture and Design",1213,Exclude
ASJC (Scopus),Arts and Humanities,Performing Arts,Museology,1209,Exclude
ASJC (Scopus),Arts and Humanities,Performing Arts,Music,1210,Exclude
ASJC (Scopus),Arts and Humanities,Performing Arts,Visual Arts and Performing Arts,1213,Exclude
ASJC (Scopus),Engineering and Technology,Petroleum Engineering,Catalysis,1503,Exclude
ASJC (Scopus),Engineering and Technology,Petroleum Engineering,Chemical Health and Safety,1504,Exclude
ASJC (Scopus),Engineering and Technology,Petroleum Engineering,Earth and Planetary Sciences (all),1900,Exclude
ASJC (Scopus),Engineering and Technology,Petroleum Engineering,Earth and Planetary Sciences (miscellaneous),1901,Exclude
ASJC (Scopus),Engineering and Technology,Petroleum Engineering,Economic Geology,1905,Exclude
ASJC (Scopus),Engineering and Technology,Petroleum Engineering,Electrical and Electronic Engineering,2208,Exclude
ASJC (Scopus),Engineering and Technology,Petroleum Engineering,Energy (all),2100,Exclude
ASJC (Scopus),Engineering and Technology,Petroleum Engineering,Energy (miscellaneous),2101,Exclude
ASJC (Scopus),Engineering and Technology,Petroleum Engineering,Energy Engineering and Power Technology,2102,Exclude
ASJC (Scopus),Engineering and Technology,Petroleum Engineering,Environmental Chemistry,2304,Exclude
ASJC (Scopus),Engineering and Technology,Petroleum Engineering,Filtration and Separation,1506,Exclude
ASJC (Scopus),Engineering and Technology,Petroleum Engineering,Fluid Flow and Transfer Processes,1507,Exclude
ASJC (Scopus),Engineering and Technology,Petroleum Engineering,Fuel Technology,2103,Exclude
ASJC (Scopus),Engineering and Technology,Petroleum Engineering,Geochemistry and Petrology,1906,Exclude
ASJC (Scopus),Engineering and Technology,Petroleum Engineering,Geotechnical Engineering and Engineering Geology,1909,
ASJC (Scopus),Engineering and Technology,Petroleum Engineering,Ocean Engineering,2212,
ASJC (Scopus),Engineering and Technology,Petroleum Engineering,Organic Chemistry,1605,Exclude
ASJC (Scopus),Engineering and Technology,Petroleum Engineering,Physical and Theoretical Chemistry,1606,Exclude
ASJC (Scopus),Engineering and Technology,Petroleum Engineering,Process Chemistry and Technology,1508,Exclude
ASJC (Scopus),Engineering and Technology,Petroleum Engineering,"Safety, Risk, Reliability and Quality",2213,Exclude
ASJC (Scopus),Life Sciences and Medicine,Pharmacy and Pharmacology,Drug Discovery,3002,Exclude
ASJC (Scopus),Life Sciences and Medicine,Pharmacy and Pharmacology,Pharmaceutical Science,3003,Exclude
ASJC (Scopus),Life Sciences and Medicine,Pharmacy and Pharmacology,Pharmacology,3004,Exclude
ASJC (Scopus),Life Sciences and Medicine,Pharmacy and Pharmacology,Pharmacology (medical),2736,Exclude
ASJC (Scopus),Life Sciences and Medicine,Pharmacy and Pharmacology,"Pharmacology, Toxicology and Pharmaceutics (all)",3000,Exclude
ASJC (Scopus),Life Sciences and Medicine,Pharmacy and Pharmacology,"Pharmacology, Toxicology and Pharmaceutics (miscellaneous)",3001,Exclude
ASJC (Scopus),Life Sciences and Medicine,Pharmacy and Pharmacology,Pharmacy,3611,Exclude
ASJC (Scopus),Life Sciences and Medicine,Pharmacy and Pharmacology,Toxicology,3005,Exclude
ASJC (Scopus),Arts and Humanities,Philosophy,Philosophy,1211,Exclude
ASJC (Scopus),Natural Sciences,Physics and Astronomy,Acoustics and Ultrasonics,3102,Exclude
ASJC (Scopus),Natural Sciences,Physics and Astronomy,Astronomy and Astrophysics,3103,Exclude
ASJC (Scopus),Natural Sciences,Physics and Astronomy,"Atomic and Molecular Physics, and Optics",3107,Exclude
ASJC (Scopus),Natural Sciences,Physics and Astronomy,Condensed Matter Physics,3104,Exclude
ASJC (Scopus),Natural Sciences,Physics and Astronomy,Instrumentation,3105,Exclude
ASJC (Scopus),Natural Sciences,Physics and Astronomy,Mathematical Physics,2610,Exclude
ASJC (Scopus),Natural Sciences,Physics and Astronomy,Nuclear and High Energy Physics,3106,Exclude
ASJC (Scopus),Natural Sciences,Physics and Astronomy,Physics and Astronomy (all),3100,Exclude
ASJC (Scopus),Natural Sciences,Physics and Astronomy,Physics and Astronomy (miscellaneous),3101,Exclude
ASJC (Scopus),Natural Sciences,Physics and Astronomy,Radiation,3108,Exclude
ASJC (Scopus),Natural Sciences,Physics and Astronomy,Statistical and Nonlinear Physics,3109,Exclude
ASJC (Scopus),Natural Sciences,Physics and Astronomy,Surfaces and Interfaces,3110,Exclude
ASJC (Scopus),Social Sciences and Management,Politics and International Studies,Political Science and International Relations,3320,Exclude
ASJC (Scopus),Social Sciences and Management,Politics and International Studies,Public Administration,3321,Exclude
ASJC (Scopus),Life Sciences and Medicine,Psychology,Applied Psychology,3202,Exclude
ASJC (Scopus),Life Sciences and Medicine,Psychology,Clinical Psychology,3203,Exclude
ASJC (Scopus),Life Sciences and Medicine,Psychology,Experimental and Cognitive Psychology,3205,Exclude
ASJC (Scopus),Life Sciences and Medicine,Psychology,Neuropsychology and Physiological Psychology,3206,Exclude
ASJC (Scopus),Social Sciences and Management,Psychology,Developmental and Educational Psychology,3204,Exclude
ASJC (Scopus),Social Sciences and Management,Psychology,Psychology (all),3200,Exclude
ASJC (Scopus),Social Sciences and Management,Psychology,Psychology (miscellaneous),3201,Exclude
ASJC (Scopus),Social Sciences and Management,Psychology,Social Psychology,3207,Exclude
ASJC (Scopus),Social Sciences and Management,Social Policy and Administration,Public Administration,3321,Exclude
ASJC (Scopus),Social Sciences and Management,Social Sciences and Management,Health (social science),3306,Exclude
ASJC (Scopus),Social Sciences and Management,Social Sciences and Management,Human Factors and Ergonomics,3307,Exclude
ASJC (Scopus),Social Sciences and Management,Social Sciences and Management,Safety Research,3311,Exclude
ASJC (Scopus),Social Sciences and Management,Social Sciences and Management,Social Sciences (all),3300,Exclude
ASJC (Scopus),Social Sciences and Management,Social Sciences and Management,Social Sciences (miscellaneous),3301,Exclude
ASJC (Scopus),Social Sciences and Management,Sociology,Demography,3317,
ASJC (Scopus),Social Sciences and Management,Sociology,Gender Studies,3318,Exclude
ASJC (Scopus),Social Sciences and Management,Sociology,Life-span and Life-course Studies,3319,Exclude
ASJC (Scopus),Social Sciences and Management,Sociology,Sociology and Political Science,3312,Exclude
ASJC (Scopus),Life Sciences and Medicine,Sports-related Subjects,"Physical Therapy, Sports Therapy and Rehabilitation",3612,Exclude
ASJC (Scopus),Engineering and Technology,Statistics and Operational Research,Statistics and Probability,2613,Exclude
ASJC (Scopus),Engineering and Technology,Statistics and Operational Research,"Statistics, Probability and Uncertainty",1804,Exclude
ASJC (Scopus),Natural Sciences,Statistics and Operational Research,Statistics and Probability,2613,Exclude
ASJC (Scopus),Natural Sciences,Statistics and Operational Research,"Statistics, Probability and Uncertainty",1804,Exclude
ASJC (Scopus),Social Sciences and Management,Statistics and Operational Research,Management Science and Operations Research,1803,Exclude
ASJC (Scopus),Arts and Humanities,"Theology, Divinity and Religious Studies",Religious Studies,1212,Exclude
ASJC (Scopus),Life Sciences and Medicine,Veterinary Science,Equine,3402,
ASJC (Scopus),Life Sciences and Medicine,Veterinary Science,Food Animals,3403,
ASJC (Scopus),Life Sciences and Medicine,Veterinary Science,Small Animals,3404,
ASJC (Scopus),Life Sciences and Medicine,Veterinary Science,Veterinary (all),3400,
ASJC (Scopus),Life Sciences and Medicine,Veterinary Science,Veterinary (miscellaneous),3401,
WoS,,,Acoustics,,Exclude
WoS,,,Agricultural Economics & Policy,,
WoS,,,Agricultural Engineering,,
WoS,,,"Agriculture, Dairy & Animal Science",,
WoS,,,"Agriculture, Multidisciplinary",,
WoS,,,Agronomy,,
WoS,,,Allergy,,Exclude
WoS,,,Anatomy & Morphology,,
WoS,,,Andrology,,Exclude
WoS,,,Anesthesiology,,Exclude
WoS,,,Anthropology,,Exclude
WoS,,,Archaeology,,Exclude
WoS,,,Architecture,,Exclude
WoS,,,Area Studies,,Exclude
WoS,,,Art,,Exclude
WoS,,,Asian Studies,,Exclude
WoS,,,Astronomy & Astrophysics,,Exclude
WoS,,,Audiology & Speech-Language Pathology,,Exclude
WoS,,,Automation & Control Systems,,Exclude
WoS,,,Behavioral Sciences,,
WoS,,,Biochemical Research Methods,,Exclude
WoS,,,Biochemistry & Molecular Biology,,Exclude
WoS,,,Biodiversity Conservation,,
WoS,,,Biology,,
WoS,,,Biophysics,,
WoS,,,Biotechnology & Applied Microbiology,,
WoS,,,Business,,Exclude
WoS,,,"Business, Finance",,Exclude
WoS,,,Cardiac & Cardiovascular Systems,,Exclude
WoS,,,Cell & Tissue Engineering,,Exclude
WoS,,,Cell Biology,,Exclude
WoS,,,"Chemistry, Analytical",,Exclude
WoS,,,"Chemistry, Applied",,Exclude
WoS,,,"Chemistry, Inorganic & Nuclear",,Exclude
WoS,,,"Chemistry, Medicinal",,Exclude
WoS,,,"Chemistry, Multidisciplinary",,Exclude
WoS,,,"Chemistry, Organic",,Exclude
WoS,,,"Chemistry, Physical",,Exclude
WoS,,,Classics,,Exclude
WoS,,,Clinical Neurology,,Exclude
WoS,,,Communication,,Exclude
WoS,,,"Computer Science, Artificial Intelligence",,Exclude
WoS,,,"Computer Science, Cybernetics",,Exclude
WoS,,,"Computer Science, Hardware & Architecture",,Exclude
WoS,,,"Computer Science, Information Systems",,Exclude
WoS,,,"Computer Science, Interdisciplinary Applications",,Exclude
WoS,,,"Computer Science, Software Engineering",,Exclude
WoS,,,"Computer Science, Theory & Methods",,Exclude
WoS,,,Construction & Building Technology,,Exclude
WoS,,,Criminology & Penology,,Exclude
WoS,,,Critical Care Medicine,,Exclude
WoS,,,Crystallography,,Exclude
WoS,,,Cultural Studies,,Exclude
WoS,,,Dance,,Exclude
WoS,,,Demography,,
WoS,,,"Dentistry, Oral Surgery & Medicine",,Exclude
WoS,,,Dermatology,,Exclude
WoS,,,Development Studies,,Exclude
WoS,,,Developmental Biology,,
WoS,,,Ecology,,
WoS,,,Economics,,Exclude
WoS,,,Education & Educational Research,,Exclude
WoS,,,"Education, Scientific Disciplines",,Exclude
WoS,,,"Education, Special",,Exclude
WoS,,,Electrochemistry,,Exclude
WoS,,,Emergency Medicine,,Exclude
WoS,,,Endocrinology & Metabolism,,Exclude
WoS,,,Energy & Fuels,,Exclude
WoS,,,"Engineering, Aerospace",,Exclude
WoS,,,"Engineering, Biomedical",,Exclude
WoS,,,"Engineering, Chemical",,Exclude
WoS,,,"Engineering, Civil",,Exclude
WoS,,,"Engineering, Electrical & Electronic",,Exclude
WoS,,,"Engineering, Environmental",,
WoS,,,"Engineering, Geological",,Exclude
WoS,,,"Engineering, Industrial",,Exclude
WoS,,,"Engineering, Manufacturing",,Exclude
WoS,,,"Engineering, Marine",,
WoS,,,"Engineering, Mechanical",,Exclude
WoS,,,"Engineering, Multidisciplinary",,Exclude
WoS,,,"Engineering, Ocean",,
WoS,,,"Engineering, Petroleum",,Exclude
WoS,,,Entomology,,
WoS,,,Environmental Sciences,,
WoS,,,Environmental Studies,,
WoS,,,Ergonomics,,Exclude
WoS,,,Ethics,,Exclude
WoS,,,Ethnic Studies,,Exclude
WoS,,,Evolutionary Biology,,
WoS,,,Family Studies,,Exclude
WoS,,,"Film, Radio, Television",,Exclude
WoS,,,Fisheries,,
WoS,,,Folklore,,Exclude
WoS,,,Food Science & Technology,,Exclude
WoS,,,Forestry,,Exclude
WoS,,,Gastroenterology & Hepatology,,Exclude
WoS,,,Genetics & Heredity,,
WoS,,,Geochemistry & Geophysics,,Exclude
WoS,,,Geography,,
WoS,,,"Geography, Physical",,
WoS,,,Geology,,
WoS,,,"Geosciences, Multidisciplinary",,
WoS,,,Geriatrics & Gerontology,,Exclude
WoS,,,Gerontology,,Exclude
WoS,,,Green & Sustainable Science & Technology,,
WoS,,,Health Care Sciences & Services,,Exclude
WoS,,,Health Policy & Services,,Exclude
WoS,,,Hematology,,Exclude
WoS,,,History,,Exclude
WoS,,,History & Philosophy of Science,,Exclude
WoS,,,History of Social Sciences,,Exclude
WoS,,,Horticulture,,
WoS,,,"Hospitality, Leisure, Sport & Tourism",,Exclude
WoS,,,"Humanities, Multidisciplinary",,Exclude
WoS,,,Imaging Science & Photographic Technology,,Exclude
WoS,,,Immunology,,Exclude
WoS,,,Industrial Relations & Labor,,Exclude
WoS,,,Infectious Diseases,,
WoS,,,Information Science & Library Science,,Exclude
WoS,,,Instruments & Instrumentation,,Exclude
WoS,,,Integrative & Complementary Medicine,,Exclude
WoS,,,International Relations,,Exclude
WoS,,,Language & Linguistics,,Exclude
WoS,,,Law,,Exclude
WoS,,,Limnology,,
WoS,,,Linguistics,,Exclude
WoS,,,Literary Reviews,,Exclude
WoS,,,Literary Theory & Criticism,,Exclude
WoS,,,Literature,,Exclude
WoS,,,"Literature, African, Australian, Canadian",,Exclude
WoS,,,"Literature, American",,Exclude
WoS,,,"Literature, British Isles",,Exclude
WoS,,,"Literature, German, Dutch, Scandinavian",,Exclude
WoS,,,"Literature, Romance",,Exclude
WoS,,,"Literature, Slavic",,Exclude
WoS,,,Logic,,Exclude
WoS,,,Management,,Exclude
WoS,,,Marine & Freshwater Biology,,
WoS,,,"Materials Science, Biomaterials",,Exclude
WoS,,,"Materials Science, Ceramics",,Exclude
WoS,,,"Materials Science, Characterization & Testing",,Exclude
WoS,,,"Materials Science, Coatings & Films",,Exclude
WoS,,,"Materials Science, Composites",,Exclude
WoS,,,"Materials Science, Multidisciplinary",,Exclude
WoS,,,"Materials Science, Paper & Wood",,Exclude
WoS,,,"Materials Science, Textiles",,Exclude
WoS,,,Mathematical & Computational Biology,,Exclude
WoS,,,Mathematics,,Exclude
WoS,,,"Mathematics, Applied",,Exclude
WoS,,,"Mathematics, Interdisciplinary Applications",,Exclude
WoS,,,Mechanics,,Exclude
WoS,,,Medical Ethics,,Exclude
WoS,,,Medical Informatics,,Exclude
WoS,,,Medical Laboratory Technology,,Exclude
WoS,,,"Medicine, General & Internal",,Exclude
WoS,,,"Medicine, Legal",,Exclude
WoS,,,"Medicine, Research & Experimental",,Exclude
WoS,,,Medieval & Renaissance Studies,,Exclude
WoS,,,Metallurgy & Metallurgical Engineering,,Exclude
WoS,,,Meteorology & Atmospheric Sciences,,Exclude
WoS,,,Microbiology,,
WoS,,,Microscopy,,
WoS,,,Mineralogy,,Exclude
WoS,,,Mining & Mineral Processing,,Exclude
WoS,,,Multidisciplinary Sciences,,
WoS,,,Music,,Exclude
WoS,,,Mycology,,
WoS,,,Nanoscience & Nanotechnology,,Exclude
WoS,,,Neuroimaging,,Exclude
WoS,,,Neurosciences,,Exclude
WoS,,,Nuclear Science & Technology,,Exclude
WoS,,,Nursing,,Exclude
WoS,,,Nutrition & Dietetics,,Exclude
WoS,,,Obstetrics & Gynecology,,Exclude
WoS,,,Oceanography,,
WoS,,,Oncology,,Exclude
WoS,,,Operations Research & Management Science,,Exclude
WoS,,,Ophthalmology,,Exclude
WoS,,,Optics,,Exclude
WoS,,,Ornithology,,
WoS,,,Orthopedics,,Exclude
WoS,,,Otorhinolaryngology,,Exclude
WoS,,,Paleontology,,
WoS,,,Parasitology,,
WoS,,,Pathology,,Exclude
WoS,,,Pediatrics,,Exclude
WoS,,,Peripheral Vascular Disease,,Exclude
WoS,,,Pharmacology & Pharmacy,,Exclude
WoS,,,Philosophy,,Exclude
WoS,,,"Physics, Applied",,Exclude
WoS,,,"Physics, Atomic, Molecular & Chemical",,Exclude
WoS,,,"Physics, Condensed Matter",,Exclude
WoS,,,"Physics, Fluids & Plasmas",,Exclude
WoS,,,"Physics, Mathematical",,Exclude
WoS,,,"Physics, Multidisciplinary",,Exclude
WoS,,,"Physics, Nuclear",,Exclude
WoS,,,"Physics, Particles & Fields",,Exclude
WoS,,,Physiology,,
WoS,,,Plant Sciences,,
WoS,,,Poetry,,Exclude
WoS,,,Political Science,,Exclude
WoS,,,Polymer Science,,Exclude
WoS,,,Primary Health Care,,Exclude
WoS,,,Psychiatry,,Exclude
WoS,,,Psychology,,Exclude
WoS,,,"Psychology, Applied",,Exclude
WoS,,,"Psychology, Biological",,Exclude
WoS,,,"Psychology, Clinical",,Exclude
WoS,,,"Psychology, Developmental",,Exclude
WoS,,,"Psychology, Educational",,Exclude
WoS,,,"Psychology, Experimental",,Exclude
WoS,,,"Psychology, Mathematical",,Exclude
WoS,,,"Psychology, Multidisciplinary",,Exclude
WoS,,,"Psychology, Psychoanalysis",,Exclude
WoS,,,"Psychology, Social",,Exclude
WoS,,,Public Administration,,Exclude
WoS,,,"Public, Environmental & Occupational Health",,Exclude
WoS,,,Quantum Science & Technology,,Exclude
WoS,,,"Radiology, Nuclear Medicine & Medical Imaging",,Exclude
WoS,,,Regional & Urban Planning,,Exclude
WoS,,,Rehabilitation,,Exclude
WoS,,,Religion,,Exclude
WoS,,,Remote Sensing,,
WoS,,,Reproductive Biology,,
WoS,,,Respiratory System,,Exclude
WoS,,,Rheumatology,,Exclude
WoS,,,Robotics,,Exclude
WoS,,,Social Issues,,Exclude
WoS,,,"Social Sciences, Biomedical",,Exclude
WoS,,,"Social Sciences, Interdisciplinary",,Exclude
WoS,,,"Social Sciences, Mathematical Methods",,Exclude
WoS,,,Social Work,,Exclude
WoS,,,Sociology,,Exclude
WoS,,,Soil Science,,
WoS,,,Spectroscopy,,Exclude
WoS,,,Sport Sciences,,Exclude
WoS,,,Statistics & Probability,,Exclude
WoS,,,Substance Abuse,,Exclude
WoS,,,Surgery,,Exclude
WoS,,,Telecommunications,,Exclude
WoS,,,Theater,,Exclude
WoS,,,Thermodynamics,,Exclude
WoS,,,Toxicology,,Exclude
WoS,,,Transplantation,,Exclude
WoS,,,Transportation,,Exclude
WoS,,,Transportation Science & Technology,,Exclude
WoS,,,Tropical Medicine,,Exclude
WoS,,,Urban Studies,,Exclude
WoS,,,Urology & Nephrology,,Exclude
WoS,,,Veterinary Sciences,,Exclude
WoS,,,Virology,,
WoS,,,Water Resources,,
WoS,,,Women's Studies,,Exclude
WoS,,,Zoology,,
