block,plot,treatment,D,Div,S,EI,SI,DI,E,lS,lSI,deltaE,deltaS,deltaD,grazed,rep
14,C,C,0.595174795,1.680178679,7,0.26123,5,1.30614,0.2400255256,1.9459101491,1.6094379124,-0.081171666,0.4,0.2863695155,nongra,1
33,C,C,0.374901292,2.667368774,13,0.33453,6,2.00721,0.2051822134,2.5649493575,1.7917594692,-0.386655267,1.1666666667,0.3288937251,nongra,1
34,C,C,0.310141941,3.224330112,15,0.26311,9,2.36795,0.2149553408,2.7080502011,2.1972245773,-0.183021015,0.6666666667,0.361654643,nongra,1
38,C,C,0.303782191,3.291832206,12,0.14934,11,1.64276,0.2743193505,2.4849066498,2.3978952728,0.8368779329,0.0909090909,1.0038424396,nongra,1
39,C,C,0.684768016,1.46034858,7,0.17333,6,1.03999,0.2086212257,1.9459101491,1.7917594692,0.2036071408,0.1666666667,0.4041948288,nongra,1
48,C,C,0.492085124,2.032168727,6,0.32406,4,1.29623,0.3386947878,1.7917594692,1.3862943611,0.0451607352,0.5,0.5677531973,nongra,1
49,C,C,0.632919005,1.579980997,7,0.18672,4,1.30706,0.225711571,1.9459101491,1.3862943611,0.2088237521,0.75,0.2088052553,nongra,1
14,C,S1,0.605121085,1.652561817,9,0.26123,5,1.30614,0.1836179797,2.1972245773,1.6094379124,-0.297102248,0.8,0.2652256397,nongra,1
33,C,S1,0.635003158,1.574795318,9,0.33453,6,2.00721,0.1749772576,2.1972245773,1.7917594692,-0.476945991,0.5,-0.215430713,nongra,1
34,C,S1,0.851679439,1.174150689,10,0.26311,9,2.36795,0.1174150689,2.302585093,2.1972245773,-0.553741519,0.1111111111,-0.504148868,nongra,1
38,C,S1,0.343788856,2.908762116,10,0.14934,11,1.64276,0.2908762116,2.302585093,2.3978952728,0.9477448212,-0.090909091,0.7706555529,nongra,1
39,C,S1,0.552248464,1.810779141,7,0.17333,6,1.03999,0.2586827344,1.9459101491,1.7917594692,0.4924290915,0.1666666667,0.7411505313,nongra,1
48,C,S1,0.482847411,2.071047659,9,0.32406,4,1.29623,0.2301164066,2.1972245773,1.3862943611,-0.289895678,1.25,0.5977470503,nongra,1
49,C,S1,0.411613539,2.42946333,9,0.18672,4,1.30706,0.26994037,2.1972245773,1.3862943611,0.445696069,1.25,0.858723647,nongra,1
14,C,S2,0.992913886,1.007136686,5,0.26123,5,1.30614,0.2014273372,1.6094379124,1.6094379124,-0.22892724,0,-0.228921336,nongra,1
33,C,S2,0.247684073,4.0374013,10,0.33453,6,2.00721,0.40374013,2.302585093,1.7917594692,0.2068876633,0.6666666667,1.011449375,nongra,1
34,C,S2,0.374510375,2.670152999,16,0.26311,9,2.36795,0.1668845624,2.7725887222,2.1972245773,-0.365723224,0.7777777778,0.1276222044,nongra,1
38,C,S2,0.742279033,1.347202272,8,0.14934,11,1.64276,0.168400284,2.0794415417,2.3978952728,0.1276301326,-0.272727273,-0.179915342,nongra,1
39,C,S2,0.73941913,1.35241294,9,0.17333,6,1.03999,0.1502681044,2.1972245773,1.7917594692,-0.133051956,0.5,0.3004095616,nongra,1
48,C,S2,0.599325854,1.668541402,8,0.32406,4,1.29623,0.2085676753,2.0794415417,1.3862943611,-0.356391794,1,0.2872263425,nongra,1
49,C,S2,0.436907959,2.288811592,12,0.18672,4,1.30706,0.1907342993,2.4849066498,1.3862943611,0.0214990324,2,0.7511144033,nongra,1
